Operation,Elements,BatchSize,TotalElements,TotalTime,TimePerRecord,TimePerBatch,TimePerTable,Function
SELECT,2000,0,2000,0.00899410,0.00000450,0.00899410,0.00899410,SELECT find users
SELECT,2000,0,2000,0.00120687,0.00000060,0.00120687,0.00120687,SELECT count problems by status
SELECT,2000,0,1082,0.01588345,0.00001468,0.01588345,0.01588345,SELECT group messages per dormitory
SELECT,2000,0,8201,0.06030679,0.00000735,0.00670075,0.00670075,All
UPDATE,2000,0,670,0.02250838,0.00003359,0.02250838,0.02250838,UPDATE password and other fields when user is admin
UPDATE,2000,0,2000,0.01730227,0.00000865,0.01730227,0.01730227,UPDATE reservation time
UPDATE,2000,0,1,0.00520635,0.00520635,0.00520635,0.00520635,UPDATE one message
UPDATE,2000,0,2671,0.04701495,0.00001760,0.01175374,0.01175374,All
DELETE,4000,0,38,0.13183260,0.00346928,0.13183260,0.13183260,DELETE many not in batch
DELETE,4000,0,3958,0.04149675,0.00001048,0.04149675,0.04149675,DELETE many in batch
DELETE,4000,0,3996,0.17332935,0.00004338,0.08666468,0.08666468,All
INSERT,2000,2000,16000,0.99983501,0.00006249,0.14283357,0.14283357,All
SELECT,2000,0,1266,0.01406407,0.00001111,0.01406407,0.01406407,SELECT group reservation per device
SELECT,2000,0,1266,0.01003933,0.00000793,0.01003933,0.01003933,SELECT count average reservation time per device
SELECT,2000,0,604,0.00703526,0.00001165,0.00703526,0.00703526,SELECT count number of admins
SELECT,2000,0,2000,0.00899649,0.00000450,0.00899649,0.00899649,SELECT find users
SELECT,2000,0,2000,0.00207114,0.00000104,0.00207114,0.00207114,SELECT count problems by status
SELECT,2000,0,1082,0.01420975,0.00001313,0.01420975,0.01420975,SELECT group messages per dormitory
SELECT,2000,0,8219,0.05975366,0.00000727,0.00663930,0.00663930,All
UPDATE,2000,0,657,0.02837205,0.00004318,0.02837205,0.02837205,UPDATE password and other fields when user is admin
UPDATE,2000,0,2000,0.02520823,0.00001260,0.02520823,0.02520823,UPDATE reservation time
UPDATE,2000,0,1,0.00404906,0.00404906,0.00404906,0.00404906,UPDATE one message
UPDATE,2000,0,2658,0.06067824,0.00002283,0.01516956,0.01516956,All
DELETE,4000,0,38,0.13607430,0.00358090,0.13607430,0.13607430,DELETE many not in batch
DELETE,4000,0,3958,0.09326982,0.00002356,0.09326982,0.09326982,DELETE many in batch
DELETE,4000,0,3996,0.22934413,0.00005739,0.11467206,0.11467206,All
INSERT,2000,2000,16000,0.91485214,0.00005718,0.13069316,0.13069316,All
SELECT,2000,0,1244,0.01436424,0.00001155,0.01436424,0.01436424,SELECT group reservation per device
SELECT,2000,0,1244,0.01029253,0.00000827,0.01029253,0.01029253,SELECT count average reservation time per device
SELECT,2000,0,609,0.00728321,0.00001196,0.00728321,0.00728321,SELECT count number of admins
SELECT,2000,0,2000,0.03293800,0.00001647,0.03293800,0.03293800,SELECT find users
SELECT,2000,0,2000,0.00203872,0.00000102,0.00203872,0.00203872,SELECT count problems by status
SELECT,2000,0,1068,0.01136541,0.00001064,0.01136541,0.01136541,SELECT group messages per dormitory
SELECT,2000,0,8166,0.08233762,0.00001008,0.00914862,0.00914862,All
UPDATE,2000,0,671,0.04275298,0.00006372,0.04275298,0.04275298,UPDATE password and other fields when user is admin
UPDATE,2000,0,2000,0.02974963,0.00001487,0.02974963,0.02974963,UPDATE reservation time
UPDATE,2000,0,1,0.01226759,0.01226759,0.01226759,0.01226759,UPDATE one message
UPDATE,2000,0,2672,0.08776999,0.00003285,0.02194250,0.02194250,All
DELETE,4000,0,38,0.14437938,0.00379946,0.14437938,0.14437938,DELETE many not in batch
DELETE,4000,0,3958,0.05416799,0.00001369,0.05416799,0.05416799,DELETE many in batch
DELETE,4000,0,3996,0.19854736,0.00004969,0.09927368,0.09927368,All
INSERT,2000,2000,16000,1.73167610,0.00010823,0.24738230,0.24738230,All
SELECT,2000,0,1268,0.01512074,0.00001192,0.01512074,0.01512074,SELECT group reservation per device
SELECT,2000,0,1268,0.01003790,0.00000792,0.01003790,0.01003790,SELECT count average reservation time per device
SELECT,2000,0,622,0.00817180,0.00001314,0.00817180,0.00817180,SELECT count number of admins
SELECT,2000,0,2000,0.00899696,0.00000450,0.00899696,0.00899696,SELECT find users
SELECT,2000,0,2000,0.00100279,0.00000050,0.00100279,0.00100279,SELECT count problems by status
SELECT,2000,0,1088,0.01103592,0.00001014,0.01103592,0.01103592,SELECT group messages per dormitory
SELECT,2000,0,8247,0.05743837,0.00000696,0.00638204,0.00638204,All
UPDATE,2000,0,672,0.02053189,0.00003055,0.02053189,0.02053189,UPDATE password and other fields when user is admin
